SSID: Error 404_EXT
Datetime: Thu Nov 20 05:30:16 AM EST 2025
Datetime_alt: 202511200530
Signal_Strength: 69
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=179 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=138 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=153 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=132 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=173 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=175 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=57.1 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=180 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=150 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=164 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=193 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=135 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=148 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=139 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=222 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=83.2 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=139 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=106 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=187 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=178 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=91.9 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=43.8 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=138 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=147 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=173 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=144 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=59.5 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=209 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=163 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=78.9 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=216 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=154 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=192 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=153 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=116 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=172 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=144 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=52 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=98.0 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=134 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=123 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=173 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=194 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=109 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=66.9 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=176 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=144 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=80.0 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=185 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=158 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=208 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=162 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=195 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=193 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=106 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=111 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=186 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=183 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=207 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=166 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=149 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=202 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=87.7 ms
64 bytes from 192.0.0.88: icmp_seq=84 ttl=64 time=167 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=147 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=204 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=189 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=172 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=182 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=90.7 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=178 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=148 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=197 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=48.6 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=109 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=188 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=212 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=129 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=198 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=133 ms

--- google.com ping statistics ---
100 packets transmitted, 98 received, 2% packet loss, time 99137ms
rtt min/avg/max/mdev = 43.813/157.608/222.493/41.519 ms
