SSID: Error 404_EXT
Datetime: Fri Sep 26 05:36:15 AM EDT 2025
Datetime_alt: 202509260536
Signal_Strength: 74
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=37.1 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=37.8 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=82.7 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=88.5 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=42.2 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=90.6 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=67.5 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=79.4 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=82.7 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=45.7 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=88.7 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=69.9 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=54.7 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=39.9 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=38.5 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=28.2 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=59.0 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=38.4 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=43.7 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=33.8 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=38.1 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=38.6 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=53.3 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=37.4 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=110 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=79.2 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=37.4 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=51.4 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=30.3 ms
64 bytes from 192.0.0.88: icmp_seq=33 ttl=64 time=91.5 ms
64 bytes from 192.0.0.88: icmp_seq=34 ttl=64 time=49.6 ms
64 bytes from 192.0.0.88: icmp_seq=35 ttl=64 time=35.8 ms
64 bytes from 192.0.0.88: icmp_seq=36 ttl=64 time=64.9 ms
64 bytes from 192.0.0.88: icmp_seq=37 ttl=64 time=35.0 ms
64 bytes from 192.0.0.88: icmp_seq=38 ttl=64 time=52.2 ms
64 bytes from 192.0.0.88: icmp_seq=39 ttl=64 time=50.5 ms
64 bytes from 192.0.0.88: icmp_seq=40 ttl=64 time=34.1 ms
64 bytes from 192.0.0.88: icmp_seq=41 ttl=64 time=32.5 ms
64 bytes from 192.0.0.88: icmp_seq=42 ttl=64 time=127 ms
64 bytes from 192.0.0.88: icmp_seq=43 ttl=64 time=31.3 ms
64 bytes from 192.0.0.88: icmp_seq=44 ttl=64 time=41.9 ms
64 bytes from 192.0.0.88: icmp_seq=45 ttl=64 time=63.7 ms
64 bytes from 192.0.0.88: icmp_seq=46 ttl=64 time=44.5 ms
64 bytes from 192.0.0.88: icmp_seq=47 ttl=64 time=32.7 ms
64 bytes from 192.0.0.88: icmp_seq=48 ttl=64 time=48.5 ms
64 bytes from 192.0.0.88: icmp_seq=49 ttl=64 time=35.7 ms
64 bytes from 192.0.0.88: icmp_seq=50 ttl=64 time=36.1 ms
64 bytes from 192.0.0.88: icmp_seq=51 ttl=64 time=39.5 ms
64 bytes from 192.0.0.88: icmp_seq=53 ttl=64 time=64.9 ms
64 bytes from 192.0.0.88: icmp_seq=54 ttl=64 time=34.1 ms
64 bytes from 192.0.0.88: icmp_seq=55 ttl=64 time=31.2 ms
64 bytes from 192.0.0.88: icmp_seq=56 ttl=64 time=50.9 ms
64 bytes from 192.0.0.88: icmp_seq=57 ttl=64 time=60.2 ms
64 bytes from 192.0.0.88: icmp_seq=58 ttl=64 time=34.8 ms
64 bytes from 192.0.0.88: icmp_seq=59 ttl=64 time=157 ms
64 bytes from 192.0.0.88: icmp_seq=60 ttl=64 time=30.1 ms
64 bytes from 192.0.0.88: icmp_seq=61 ttl=64 time=76.3 ms
64 bytes from 192.0.0.88: icmp_seq=62 ttl=64 time=26.2 ms
64 bytes from 192.0.0.88: icmp_seq=63 ttl=64 time=57.5 ms
64 bytes from 192.0.0.88: icmp_seq=64 ttl=64 time=57.9 ms
64 bytes from 192.0.0.88: icmp_seq=65 ttl=64 time=37.5 ms
64 bytes from 192.0.0.88: icmp_seq=66 ttl=64 time=32.5 ms
64 bytes from 192.0.0.88: icmp_seq=67 ttl=64 time=54.9 ms
64 bytes from 192.0.0.88: icmp_seq=68 ttl=64 time=40.9 ms
64 bytes from 192.0.0.88: icmp_seq=69 ttl=64 time=30.9 ms
64 bytes from 192.0.0.88: icmp_seq=70 ttl=64 time=70.8 ms
64 bytes from 192.0.0.88: icmp_seq=71 ttl=64 time=55.1 ms
64 bytes from 192.0.0.88: icmp_seq=72 ttl=64 time=37.4 ms
64 bytes from 192.0.0.88: icmp_seq=73 ttl=64 time=56.3 ms
64 bytes from 192.0.0.88: icmp_seq=74 ttl=64 time=47.5 ms
64 bytes from 192.0.0.88: icmp_seq=75 ttl=64 time=38.7 ms
64 bytes from 192.0.0.88: icmp_seq=76 ttl=64 time=30.6 ms
64 bytes from 192.0.0.88: icmp_seq=77 ttl=64 time=32.0 ms
64 bytes from 192.0.0.88: icmp_seq=78 ttl=64 time=98.6 ms
64 bytes from 192.0.0.88: icmp_seq=79 ttl=64 time=48.5 ms
64 bytes from 192.0.0.88: icmp_seq=80 ttl=64 time=77.7 ms
64 bytes from 192.0.0.88: icmp_seq=81 ttl=64 time=62.9 ms
64 bytes from 192.0.0.88: icmp_seq=82 ttl=64 time=29.7 ms
64 bytes from 192.0.0.88: icmp_seq=83 ttl=64 time=54.8 ms
64 bytes from 192.0.0.88: icmp_seq=85 ttl=64 time=40.2 ms
64 bytes from 192.0.0.88: icmp_seq=86 ttl=64 time=46.4 ms
64 bytes from 192.0.0.88: icmp_seq=87 ttl=64 time=33.4 ms
64 bytes from 192.0.0.88: icmp_seq=88 ttl=64 time=34.3 ms
64 bytes from 192.0.0.88: icmp_seq=89 ttl=64 time=37.4 ms
64 bytes from 192.0.0.88: icmp_seq=90 ttl=64 time=35.1 ms
64 bytes from 192.0.0.88: icmp_seq=91 ttl=64 time=41.2 ms
64 bytes from 192.0.0.88: icmp_seq=92 ttl=64 time=33.9 ms
64 bytes from 192.0.0.88: icmp_seq=93 ttl=64 time=33.6 ms
64 bytes from 192.0.0.88: icmp_seq=94 ttl=64 time=51.9 ms
64 bytes from 192.0.0.88: icmp_seq=95 ttl=64 time=38.2 ms
64 bytes from 192.0.0.88: icmp_seq=96 ttl=64 time=52.7 ms
64 bytes from 192.0.0.88: icmp_seq=97 ttl=64 time=28.4 ms
64 bytes from 192.0.0.88: icmp_seq=98 ttl=64 time=50.5 ms
64 bytes from 192.0.0.88: icmp_seq=99 ttl=64 time=36.5 ms
64 bytes from 192.0.0.88: icmp_seq=100 ttl=64 time=40.2 ms

--- google.com ping statistics ---
100 packets transmitted, 95 received, 5% packet loss, time 99118ms
rtt min/avg/max/mdev = 26.210/50.773/156.699/22.630 ms
