SSID: Error 404_EXT
Datetime: Thu Jul 16 05:34:10 AM EDT 2026
Datetime_alt: 202607160534
Signal_Strength: 65
PING google.com (192.0.0.88) 56(84) bytes of data.
64 bytes from 192.0.0.88: icmp_seq=1 ttl=64 time=96.8 ms
64 bytes from 192.0.0.88: icmp_seq=2 ttl=64 time=80.6 ms
64 bytes from 192.0.0.88: icmp_seq=3 ttl=64 time=91.6 ms
64 bytes from 192.0.0.88: icmp_seq=4 ttl=64 time=92.1 ms
64 bytes from 192.0.0.88: icmp_seq=5 ttl=64 time=84.0 ms
64 bytes from 192.0.0.88: icmp_seq=6 ttl=64 time=91.4 ms
64 bytes from 192.0.0.88: icmp_seq=7 ttl=64 time=90.2 ms
64 bytes from 192.0.0.88: icmp_seq=8 ttl=64 time=85.0 ms
64 bytes from 192.0.0.88: icmp_seq=9 ttl=64 time=91.5 ms
64 bytes from 192.0.0.88: icmp_seq=10 ttl=64 time=30.3 ms
64 bytes from 192.0.0.88: icmp_seq=11 ttl=64 time=82.8 ms
64 bytes from 192.0.0.88: icmp_seq=12 ttl=64 time=88.6 ms
64 bytes from 192.0.0.88: icmp_seq=13 ttl=64 time=92.0 ms
64 bytes from 192.0.0.88: icmp_seq=14 ttl=64 time=88.8 ms
64 bytes from 192.0.0.88: icmp_seq=15 ttl=64 time=88.1 ms
64 bytes from 192.0.0.88: icmp_seq=16 ttl=64 time=86.9 ms
64 bytes from 192.0.0.88: icmp_seq=17 ttl=64 time=92.6 ms
64 bytes from 192.0.0.88: icmp_seq=18 ttl=64 time=96.3 ms
64 bytes from 192.0.0.88: icmp_seq=19 ttl=64 time=93.8 ms
64 bytes from 192.0.0.88: icmp_seq=20 ttl=64 time=88.3 ms
64 bytes from 192.0.0.88: icmp_seq=21 ttl=64 time=93.4 ms
64 bytes from 192.0.0.88: icmp_seq=22 ttl=64 time=93.9 ms
64 bytes from 192.0.0.88: icmp_seq=23 ttl=64 time=90.4 ms
64 bytes from 192.0.0.88: icmp_seq=24 ttl=64 time=90.6 ms
64 bytes from 192.0.0.88: icmp_seq=25 ttl=64 time=89.5 ms
64 bytes from 192.0.0.88: icmp_seq=26 ttl=64 time=97.5 ms
64 bytes from 192.0.0.88: icmp_seq=27 ttl=64 time=85.4 ms
64 bytes from 192.0.0.88: icmp_seq=28 ttl=64 time=90.8 ms
64 bytes from 192.0.0.88: icmp_seq=29 ttl=64 time=87.1 ms
64 bytes from 192.0.0.88: icmp_seq=30 ttl=64 time=91.8 ms
64 bytes from 192.0.0.88: icmp_seq=31 ttl=64 time=110 ms
64 bytes from 192.0.0.88: icmp_seq=32 ttl=64 time=83.4 ms
